-40,"190,5562","23,1764485"
-39,"183,4132","17,890721"
-38,"175,674","17,174845"
-37,"167,6467","16,43231975"
-36,"159,5647","15,68473475"
-35,"151,5975","14,94776875"
-34,"143,8624","14,232272"
-33,"136,4361","13,54533925"
-32,"129,3641","12,89117925"
-31,"122,6678","12,2717715"
-30,"116,3519","11,68755075"
-29,"110,4098","11,1379065"
-28,"104,8272","10,621516"
-27,"99,5847","10,13658475"
-26,"94,6608","9,681124"
-25,"90,0326","9,2530155"
-24,"85,6778","8,8501965"
-23,"81,5747","8,47065975"
-22,"77,7031","8,11253675"
-21,"74,0442","7,7740885"
-20,"70,5811","7,45375175"
-19,"67,2987","7,15012975"
-18,"64,1834","6,8619645"
-17,"61,2233","6,58815525"
-16,"58,408","6,32774"
-15,"55,7284","6,079877"
-14,"53,1766","5,8438355"
-13,"50,7456","5,618968"
-12,"48,4294","5,4047195"
-11,"46,2224","5,200572"
-10,"44,1201","5,00610925"
-9,"42,118","4,820915"
-8,"40,2121","4,64461925"
-7,"38,3988","4,476889"
-6,"36,6746","4,3174005"
-5,"35,0362","4,1658485"
-4,"33,4802","4,0219185"
-3,"32,0035","3,88532375"
-2,"30,6028","3,755759"
-1,"29,275","3,6329375"
0,"28,017","3,5165725"
1,"26,8255","3,40635875"
2,"25,6972","3,301991"
3,"24,629","3,2031825"
4,"23,6176","3,109628"
5,"22,6597","3,02102225"
6,"21,7522","2,9370785"
7,"20,8916","2,857473"
8,"20,0749","2,78192825"
9,"19,2988","2,710139"
10,"18,56","2,6418"
11,"18,4818","2,6345665"
12,"18,1489","2,60377325"
13,"17,6316","2,555923"
14,"16,9917","2,49673225"
15,"16,2797","2,43087225"
16,"15,535","2,3619875"
17,"14,7867","2,29276975"
18,"14,0551","2,22509675"
19,"13,3536","2,160208"
20,"12,69","2,098825"
21,"12,0684","2,041327"
22,"11,49","1,987825"
23,"10,9539","1,93823575"
24,"10,4582","1,8923835"
25,10,"1,85"
26,"9,5762","1,8107985"
27,"9,1835","1,77447375"
28,"8,8186","1,7407205"
29,"8,4784","1,709252"
30,"8,16","1,6798"
31,"7,8608","1,652124"
32,"7,5785","1,62601125"
33,"7,3109","1,60125825"
34,"7,0564","1,577717"
35,"6,8133","1,55523025"
36,"6,5806","1,5337055"
37,"6,357","1,5130225"
38,"6,1418","1,4931165"
39,"5,9343","1,47392275"
40,"5,734","1,455395"
41,"5,5405","1,43749625"
42,"5,3534","1,4201895"
43,"5,1725","1,40345625"
44,"4,9976","1,387278"
45,"4,8286","1,3716455"
46,"4,6652","1,356531"
47,"4,5073","1,34192525"
48,"4,3548","1,327819"
49,"4,2075","1,31419375"
50,"4,065","1,3010125"
51,"3,9271","1,28825675"
52,"3,7936","1,275908"
53,"3,6639","1,26391075"
54,"3,5377","1,25223725"
55,"3,4146","1,2408505"
56,"3,2939","1,22968575"
57,"3,1752","1,218706"
58,"3,0579","1,20785575"
59,"2,9414","1,1970795"
60,"2,825","1,1863125"
61,"2,7762","1,1817985"
62,"2,7179","1,17640575"
63,"2,6523","1,17033775"
64,"2,5817","1,16380725"
65,"2,5076","1,156953"
66,"2,4319","1,14995075"
67,"2,3557","1,14290225"
68,"2,2803","1,13592775"
69,"2,2065","1,12910125"
70,"2,135","1,1224875"
71,"2,0661","1,11611425"
72,"2,0004","1,110037"
73,"1,9378","1,1042465"
74,"1,8785","1,09876125"
75,"1,8225","1,09358125"
76,"1,7696","1,088688"
77,"1,7197","1,08407225"
78,"1,6727","1,07972475"
79,"1,6282","1,0756085"
80,"1,586","1,071705"
81,"1,5458","1,0679865"
82,"1,5075","1,06444375"
83,"1,4707","1,06103975"
84,"1,4352","1,057756"
85,"1,4006","1,0545555"
86,"1,3669","1,05143825"
87,"1,3337","1,04836725"
88,"1,3009","1,04533325"
89,"1,2684","1,042327"
90,"1,236","1,03933"
91,"1,2037","1,03634225"
92,"1,1714","1,0333545"
93,"1,139","1,0303575"
94,"1,1067","1,02736975"
95,"1,0744","1,024382"
96,"1,0422","1,0214035"
97,"1,0104","1,018462"
98,"0,9789","1,01554825"
99,"0,9481","1,01269925"
100,"0,918","1,009915"
101,"0,8889","1,00722325"
102,"0,861","1,0046425"
103,"0,8346","1,0022005"
104,"0,8099","0,99991575"
105,"0,787","0,9977975"
106,"0,7665","0,99590125"
107,"0,7485","0,99423625"
108,"0,7334","0,9928395"
109,"0,7214","0,9917295"
110,"0,713","0,9909525"
